TERMO DE COLABORAÇÃO,COMPETÊNCIA,ITEM,RÚBRICA,CUSTO DIRETO,NF,EMPRESA,STATUS,PAGAMENTO
34/2025 - ABC MONDUBIM,FEVEREIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 7.572,84",143,AVANTI,FATURADA,
34/2025 - ABC MONDUBIM,FEVEREIRO,1.3.2002,GÊNEROS ALIMENTÍCIOS,"R$ 747,38",37322,CCPF,FATURADA,
34/2025 - ABC MONDUBIM,FEVEREIRO,1.3.2003,MATERIAL DE EXPEDIENTE,"R$ 2.446,74",6180,FORTAL,FATURADA,
34/2025 - ABC MONDUBIM,FEVEREIRO,1.3.2005,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE","R$ 186,83",578,R&R,FATURADA,
34/2025 - ABC MONDUBIM,FEVEREIRO,1.3.2009,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 1.197,71",,ARRUDA,,
02/2022 - CSMI BARBALHA,JANEIRO,1.2.2002,EPI’S COZINHA,"R$ 131,80",111,AVANTI,PAGA,23/01/2025
02/2022 - CSMI BARBALHA,JANEIRO,1.2.2003,MATERIAL DE EXPEDIENTE,"R$ 1.104,07",6079,FORTAL,PAGA,30/01/2026
02/2022 - CSMI BARBALHA,JANEIRO,1.2.2004,MATERIAL DE LIMPEZA,"R$ 1.893,95",548,R&R,PAGA,23/01/2026
02/2022 - CSMI BARBALHA,JANEIRO,1.2.2007,MATERIAL PARA OFICINAS PEDAGÓGICAS,"R$ 2.450,49",6089,FORTAL,PAGA,27/01/2026
02/2022 - CSMI BARBALHA,JANEIRO,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 1.097,20",108,AVANTI,PAGA,23/01/2026
02/2022 - CSMI BARBALHA,JANEIRO,1.2.26,FORNECIMENTO DE ÁGUA,"R$ 260,71",109,AVANTI,PAGA,23/01/2026
02/2022 - CSMI BARBALHA,JANEIRO,1.2.26,FORNECIMENTO DE ÁGUA,"R$ 170,81",123,AVANTI,PAGA,02/02/2026
02/2022 - CSMI BARBALHA,JANEIRO,1.2.28,GÊNEROS ALIMENTÍCIOS,"R$ 20.083,42",107,AVANTI,PAGA,23/01/2026
02/2022 - CSMI BARBALHA,JANEIRO,1.2.28,GÊNEROS ALIMENTÍCIOS,"R$ 5.349,62",37055,CCPF,PAGA,23/01/2026
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.2004,MATERIAL DE LIMPEZA,"R$ 2.179,81",574,R&R,PAGA,12/01/2026
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.2005,MATERIAL DE T.I. E SUPRIMENTO DE INFORMÁTICA,"R$ 1.458,30",6186,FORTAL,PAGA,12/01/2026
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.15,MATERIAL PARA HORTO,"R$ 216,00",567,R&R,FATURADA,
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.20,OFICINA VÔLEI E HANDEBOL,"R$ 2.874,00",7686,ÍCONE,PAGA,12/01/2026
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.22,PRIMEIROS SOCORROS,"R$ 390,50",154,AVANTI,FATURADA,
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.23,UNIFORME EM GERAL,"R$ 12.528,00",568,R&R,PAGA,12/01/2026
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.28,GÊNEROS ALIMENTÍCIOS,"R$ 13.066,06",153,AVANTI,PAGA,12/01/2026
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.28,GÊNEROS ALIMENTÍCIOS,"R$ 5.220,88",37336,CCPF,PAGA,12/01/2026
02/2022 - CSMI BARBALHA,FEVEREIRO,1.2.31,MATERIAL PARA COPA E COZINHA,"R$ 1.381,32",582,R&R,PAGA,12/01/2026
06/2021 - CSMI CRISTO,JANEIRO,1.2.2002,EPI’S COZINHA,"R$ 416,30",103,AVANTI,PAGA,23/01/2026
06/2021 - CSMI CRISTO,JANEIRO,1.2.2003,MATERIAL DE EXPEDIENTE,"R$ 1.569,25",6074,FORTAL,PAGA,27/01/2026
06/2021 - CSMI CRISTO,JANEIRO,1.2.2004,MATERIAL DE LIMPEZA,"R$ 3.560,83",545,R&R,PAGA,23/01/2026
06/2021 - CSMI CRISTO,FEVEREIRO,1.2.2006,MATERIAL PARA REPAROS,"R$ 1.661,88",7639,ÍCONE,FATURADA,
06/2021 - CSMI CRISTO,JANEIRO,1.2.17,SALA DE MÚSICA,"R$ 545,70",7575,ÍCONE,PAGA,27/01/2026
06/2021 - CSMI CRISTO,JANEIRO,1.2.19,OFICINA VIOLÃO,"R$ 269,10",7574,ÍCONE,PAGA,27/01/2026
06/2021 - CSMI CRISTO,JANEIRO,1.2.21,ALIMENTAÇÃO PARA EVENTOS,"R$ 7.174,72",102,AVANTI,PAGA,23/01/2026
