INSTRUMENTO,ITEM DE DESPESA,DESCRIÇÃO ITEM DE DESPESA
1404999,1.2.2,"PRÊMIOS, CONDECORAÇÕES, MEDALHAS E TROFÉUS;"
1404999,1.2.3,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1404999,1.2.4,REMUNERAÇÃO DE SERVIÇOS DE NATUREZA EVENTUAL
1404999,1.2.5,SERVIÇO DE CONFECÇÃO DE MATERIAL PERSONALIZADO PARA EVENTOS;
1404999,1.2.6,SERVIÇOS GRÁFICOS E REPROGRÁFICOS
1404999,1.2.7,SERVIÇOS DE PEQUENOS REPAROS
1404999,1.3.1,GÁS ENGARRAFADO PARA COZINHA;
1404999,1.3.10,UTENSÍLIOS DE COPA E COZINHA;
1404999,1.3.11,VESTUÁRIO E UNIFORMES EM GERAL;
1404999,1.3.2,GÊNEROS ALIMENTÍCIOS;
1404999,1.3.3,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1404999,1.3.4,MATERIAL PARA CENÁRIOS E FIGURINOS PARA EVENTOS CULTURAIS;
1404999,1.3.5,"MATERIAL PARA CONSERVAÇÃO, LIMPEZA E HIGIENE;"
1404999,1.3.6,"MATERIAL RECREATIVO, ESPORTIVO E DE ARTE;"
1404999,1.3.7,MATERIAL PARA PRIMEIROS SOCORROS;
1404999,1.3.8,MATERIAIS PARA REPAROS E CONSERVAÇÃO
1404999,1.3.9,MATERIAL PARA FESTIVIDADES;
1404999,1.4.1,EQUIPAMENTO E MATERIAL PERMANENTE;
1404999,1.5.2,MATERIAL DE TECNOLOGIA DA INFORMAÇÃO
1405863,1.1.1,GÊNEROS DE ALIMENTAÇÃO
1405863,1.1.2,MATERIAL DE EXPEDIENTE
1405863,1.1.3,MATERIAL EDUCATIVO E ESPORTIVO
1405863,1.1.4,MATERIAL DE COPA E COZINHA
1405863,1.1.5,MATERIAL PARA FESTIVIDADES;
1405863,1.1.6,"UNIFORMES, TECIDOS E AVIAMENTOS"
1405863,1.2.1,SERVIÇO DE COMUNICAÇÃO EM GERAL
1405863,1.2.2,SERVIÇOS TÉCNICOS E PROFISSIONAIS
1405863,1.2.3,SERVIÇO DE APOIO E INFRAESTRUTURA
