INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,ITEM,DESCRIÇÃO
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.8,Oficina de ballet
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.9,Oficina de capoeira
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.10,Contação de história
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.11,Canto Coral
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.12,Oficina dança e funcional
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.13,Oficina flauta
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.14,Material para oficina futebol de campo
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.15,Material para horto
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.16,Oficina karatê e muay thai
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.17,Sala de música
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.18,Oficina teclado
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.19,Oficina violão
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.20,Oficina vôlei
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.21,Alimentação para eventos
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.22,Primeiros socorros
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.23,Uniforme em geral
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.24,Utensílios de cozinha
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.25,Materiais de utensílios do curso de gastronomia
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.1,Serviços de pequenos reparos de bens móveis e imóveis
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.2,"Serviços gráficos, cópias e reprodução de documentos"
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.3,Locação de veículo;
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.4,Dedetização
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.5,Esgotamento de fossa
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.6,Limpeza de caixa d'água
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.7,"Prêmios, condecorações, medalhas e troféus"
1190123,06/2021,CSMI CRISTO REDENTOR,1.4.1,"Remuneração de serviços de natureza eventual (palestrante, instrutoria, oficineiro, etc)"
1190123,06/2021,CSMI CRISTO REDENTOR,1.4.2,Serviços de pequenos reparos de bens móveis e imóveis
1190123,06/2021,CSMI CRISTO REDENTOR,1.4.3,Benefício assistencial para monitoramento das atividades - (22 bolsistas)
1190123,06/2021,CSMI CRISTO REDENTOR,1.5.1,Equipamento e permanente geral
1190123,06/2021,CSMI CRISTO REDENTOR,1.5.2,Sala de música
1190123,06/2021,CSMI CRISTO REDENTOR,1.5.3,Material – horta
1190123,06/2021,CSMI CRISTO REDENTOR,1.6.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, vale-transporte e vale-refeição);"
1190123,06/2021,CSMI CRISTO REDENTOR,1.6.2,Serviços técnicos profissionais
1190123,06/2021,CSMI CRISTO REDENTOR,1.6.3,"Material de expediente, tecnologia da informação e suprimento de informática."
1190123,06/2021,CSMI CRISTO REDENTOR,1.6.4,Locação de veículo
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.26,Gás engarrafado
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.8,"Remuneração de serviços de natureza eventual (palestra, instrutória, oficineiro, etc)"
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.9,Monitoramento eletrônico
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.27,"Material para festividades, homenagens, prêmios, condecorações, medalhas e troféus."
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.28,Material de copa e cozinha
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.29,Material de proteção e segurança.
1190123,06/2021,CSMI CRISTO REDENTOR,1.2.30,Oficina de teatro
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.10,"Serviço de apoio e infraestrutura logística para eventos,capacitações, seminários, encontros, feiras e festividades (fornecimento de alimentação, locação de espaço físico, locação de maquinas e equipamentos em geral)"
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.11,"Locação de máquinas, equipamentos e infraestrutura para TI"
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.12,Passagens aéreas e terrestres
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.13,Locação de ônibus
1190123,06/2021,CSMI CRISTO REDENTOR,1.3.14,"Serviço de locação, montagem e desmotagem de brinquedos de recreação, equipamentos e itens para eventos"
1190123,06/2021,CSMI CRISTO REDENTOR,1.6.5,Serviços gráficos e reprográficos
1190123,06/2021,CSMI CRISTO REDENTOR,1.6.6,"Material para limpeza, conservação e higiene"
1190123,06/2021,CSMI CRISTO REDENTOR,1.6.7,Serviços de pequenos reparos de bens móveis e imóveis
1190123,06/2021,CSMI CRISTO REDENTOR,1.7.1,Diária dentro do Estado
1190123,06/2021,CSMI CRISTO REDENTOR,1.7.2,Diária fora do Estado
1247749,25/2022,CSMI CURIÓ,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, vale-transporte e vale-refeição)"
1247749,25/2022,CSMI CURIÓ,1.2.1,Diária dentro do Estado
1247749,25/2022,CSMI CURIÓ,1.2.2,Ajuda de custo dentro do estado
1247749,25/2022,CSMI CURIÓ,1.3.1,Serviços de pequenos reparos de bens móveis e imóveis
1247749,25/2022,CSMI CURIÓ,1.3.2,Serviços gráficos e reprográficos
1247749,25/2022,CSMI CURIÓ,1.3.3,Locação de veículo
1247749,25/2022,CSMI CURIÓ,1.3.4,Dedetização
1247749,25/2022,CSMI CURIÓ,1.3.5,Esgotamento de fossa
1247749,25/2022,CSMI CURIÓ,1.3.6,Limpeza de caixa d`água
1247749,25/2022,CSMI CURIÓ,1.3.7,"Prêmios, condecorações, medalhas e troféus"
1247749,25/2022,CSMI CURIÓ,1.3.8,Recolhimento de cota patronal 20%
1247749,25/2022,CSMI CURIÓ,1.3.9,Monitoramento eletrônico
1247749,25/2022,CSMI CURIÓ,1.4.1,"Remuneração de serviços de natureza eventual (palestrante, instrutoria, oficineiro, etc)"
1247749,25/2022,CSMI CURIÓ,1.4.2,Serviços de pequenos reparos de bens móveis e imóveis
1247749,25/2022,CSMI CURIÓ,1.5.1,Benefício assistencial para monitoramento das atividades
1247749,25/2022,CSMI CURIÓ,1.6.1,Alimentação para eventos
1247749,25/2022,CSMI CURIÓ,1.6.2,"EPI’s cozinha, curso de gastronomia e demais ambientes"
1247749,25/2022,CSMI CURIÓ,1.6.3,Material de expediente
1247749,25/2022,CSMI CURIÓ,1.6.4,Material de limpeza e higiene
1247749,25/2022,CSMI CURIÓ,1.6.5,"Material para reparos e conservação de bens, móveis e imóveis"
1247749,25/2022,CSMI CURIÓ,1.6.6,Oficina de ballet
1247749,25/2022,CSMI CURIÓ,1.6.7,Oficina de capoeira
1247749,25/2022,CSMI CURIÓ,1.6.8,Oficina de contação de história
1247749,25/2022,CSMI CURIÓ,1.6.9,Oficina de canto de coral
1247749,25/2022,CSMI CURIÓ,1.6.10,Oficina de dança funcional
1247749,25/2022,CSMI CURIÓ,1.6.11,Oficina de flauta
1247749,25/2022,CSMI CURIÓ,1.6.12,Oficina de futebol de campo
1247749,25/2022,CSMI CURIÓ,1.6.13,Oficina de horto
1247749,25/2022,CSMI CURIÓ,1.6.14,Oficina de artes marciais karatê e Kung fu
1247749,25/2022,CSMI CURIÓ,1.6.15,Oficina de música
1247749,25/2022,CSMI CURIÓ,1.6.16,Oficina de teclado
1247749,25/2022,CSMI CURIÓ,1.6.17,Oficina de violão
1247749,25/2022,CSMI CURIÓ,1.6.18,Oficina de vôlei
1247749,25/2022,CSMI CURIÓ,1.6.19,Material pedagógico
1247749,25/2022,CSMI CURIÓ,1.6.20,Primeiros socorros
1247749,25/2022,CSMI CURIÓ,1.6.21,Material de tecnologia da informação e suprimento de informática
1247749,25/2022,CSMI CURIÓ,1.6.22,Uniforme em geral
1247749,25/2022,CSMI CURIÓ,1.6.23,Utensílios de cozinha
1247749,25/2022,CSMI CURIÓ,1.7.1,Equipamento e material permanente
1247749,25/2022,CSMI CURIÓ,1.8.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, vale-transporte e vale-refeição)"
1247749,25/2022,CSMI CURIÓ,1.8.2,Material de expediente
1247749,25/2022,CSMI CURIÓ,1.8.3,"Material para limpeza, conservação e higiene"
1247749,25/2022,CSMI CURIÓ,1.6.24,Gêneros alimentícios
1247749,25/2022,CSMI CURIÓ,1.3.10,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros, feiras e festividades (fornecimento de alimentação, locação de espaço físico, locação de maquinas e equipamentos em geral)"
1247749,25/2022,CSMI CURIÓ,1.3.11,"Locação de máquinas, equipamentos e infraestrutura para TI"
1247749,25/2022,CSMI CURIÓ,1.3.12,Passagens aéreas e terrestres
1247749,25/2022,CSMI CURIÓ,1.3.13,Locação de ônibus
1247749,25/2022,CSMI CURIÓ,1.3.14,"Remuneração de serviços de natureza eventual (palestrante, instrutoria, oficineiro, etc)"
1247749,25/2022,CSMI CURIÓ,1.3.15,"Serviço de locação, montagem e desmontagem de brinquedos de recreação, equipamentos e itens para eventos"
1247749,25/2022,CSMI CURIÓ,1.2.3,Diária ajuda de custo fora do Estado
1247749,25/2022,CSMI CURIÓ,1.6.25,"Material para festividades, homenagens, prêmios, condecorações, medalhas e troféus"
1247749,25/2022,CSMI CURIÓ,1.6.26,Material de copa e cozinha
1247749,25/2022,CSMI CURIÓ,1.6.27,Material de proteção e segurança
1247749,25/2022,CSMI CURIÓ,1.8.4,"Serviços técnicos profissionais, assessoria, treinamentos e instrutoria"
1247749,25/2022,CSMI CURIÓ,1.8.5,"Contas públicas (Energia, telefone, celular, água)"
1247749,25/2022,CSMI CURIÓ,1.8.6,Serviços gráficos e repográficos
1247749,25/2022,CSMI CURIÓ,1.8.7,Material de tecnologia da informação e suprimentos de informática
1247749,25/2022,CSMI CURIÓ,1.6.28,Gás engarrafado
1247749,25/2022,CSMI CURIÓ,1.6.29,Outros materiais de consumo para eventos
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.1.1,GÊNEROS DE ALIMENTAÇÃO
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.1.2,MATERIAL DE EXPEDIENTE
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.1.3,MATERIAL EDUCATIVO E ESPORTIVO
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.1.4,MATERIAL DE COPA E COZINHA
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.1.5,MATERIAL PARA FESTIVIDADES E HOMENAGENS
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.1.6,"UNIFORMES, TECIDOS E AVIAMENTOS"
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.2.1,SERVIÇO DE COMUNICAÇÃO GERAL
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.2.2,SERVIÇOS TÉCNICOS PROFISSIONAIS
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.2.3,SERVIÇO DE APOIO E INFRAESTRUTURA
1405863,68/2025,ESPAÇO DE VIDA CASA CIVIL,1.2.4,DESPESA COM PESSOAL
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, testado médico, 13º salário, férias, adicional noturno, valetransporte e vale refeição)"
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.2.1,Serviço de monitoramento eletrônico
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.2.2,Serviço gráficos e reprográficos
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.2.3,Serviço de reparo de bens móveis e imóveis
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.1,Uniforme em geral
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.2,Material de expediente
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.3,"Material para limpeza, conservação e higiene"
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.4,Primeiros socorros
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.5,Utensílios de cozinha
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.6,Material para oficina de ballet
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.7,Material para oficina de capoeira
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.8,Material para oficina de dança funcional
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.9,Material para oficina de flauta
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.10,Material para oficina de karatê e muay thai
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.11,Material para oficina de música
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.12,Material para oficina de violão
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.13,Gêneros alimentícios
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.4.1,Equipamentos e mobiliários
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.4.2,Equipamentos de música / instrumentos musicais
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.5.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, vale transporte e vale refeição)"
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.5.2,Locação de veículo
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.5.3,"Material de expediente, tecnologia da informação e suprimento de informática"
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.2.4,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros, feiras e festividades (fornecimento de alimentação, locação de espaço físico, locação de maquinas e equipamentos em geral)"
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.14,Material de proteção e segurança
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.15,Material para manutenção de bens móveis e imóveis
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.16,Material educativo e esportivo.
1356831,01/2025,ESPAÇO SOCIAL DIAS MACEDO,1.3.17,Material para festividades e homenagens.
1238520,11/2022,GESTÃO,1.1.1,"Salarios e encargos sob a folha(horas extras, encargos sociais, rescisões, atestado medico, 13º salário, ferias, adicional noturno, vale-transporte e vale-refeição)"
1238520,11/2022,GESTÃO,1.2.1,Diária dentro do Estado
1238520,11/2022,GESTÃO,1.4.1,"Material de expediente, tecnologia da informação e suprimento de informática"
1238520,11/2022,GESTÃO,1.5.1,"Salários e encargos sob a folha(horas extras, encargos sociais, rescisões, atestado medico, 13º salário, ferias,adicional noturno,, vale transporte e vale refeição)"
1238520,11/2022,GESTÃO,1.5.2,"Serviços técnicos profissionais, assessoria, treinamentos e instrutoria"
1238520,11/2022,GESTÃO,1.5.3,"Material de expediente, tecnologia da informação e suprimento de informatica"
1238520,11/2022,GESTÃO,1.5.4,"Material de limpeza, conservação e higiene"
1238520,11/2022,GESTÃO,2.1.1,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades homenagens, publicidade e propaganda(confecção de blusas, bolsas e material de proteção e segurança individuais com suas devidas logomarcas e afins)"
1238520,11/2022,GESTÃO,2.1.2,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1238520,11/2022,GESTÃO,2.1.3,"Serviços de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras(fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins)"
1238520,11/2022,GESTÃO,3.1.1,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades homenagens, publicidade e propaganda( confecção de blusas, bolsas e material de proteção segurança individuais com suas devidas logomarcas e afins)"
1238520,11/2022,GESTÃO,3.1.2,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1238520,11/2022,GESTÃO,3.1.3,"Serviços de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras(fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins)"
1238520,11/2022,GESTÃO,4.1.1,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades homenagens, publicidades e propaganda(confecção de blusas, bolsas e material de proteção e segurança individuais com suas devidas logomarcas e afins)"
1238520,11/2022,GESTÃO,4.1.2,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1238520,11/2022,GESTÃO,4.1.3,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras( fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins"
1238520,11/2022,GESTÃO,5.1.1,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades homenagens, publicidades e propaganda(confecção de blusas, bolsas e material de proteção e segurança individuais com suas devidas logomarcas e afins)"
1238520,11/2022,GESTÃO,5.1.2,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1238520,11/2022,GESTÃO,5.1.3,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras( fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins"
1238520,11/2022,GESTÃO,6.1.1,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades homenagens, publicidades e propaganda(confecção de blusas, bolsas e material de proteção e segurança individuais com suas devidas logomarcas e afins)"
1238520,11/2022,GESTÃO,6.1.2,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1238520,11/2022,GESTÃO,6.1.3,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras( fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins"
1238520,11/2022,GESTÃO,7.1.1,"Serviço de comunicação em geral, gráficos e reprograficos e documentos afins, festividades homenagens, publicidades e propaganda(confecção de blusas, bolsas e material de proteção e segurança individuais com suas devidas logomarcas e afins)"
1238520,11/2022,GESTÃO,7.1.2,"Remuneração de serviços de natureza eventual(Instrutores, palestrantes, substituições e outros serviços)"
1238520,11/2022,GESTÃO,7.1.3,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras( fornecimento de alimentação, locação de espaço físico, locação de maquinas, equipamentos e afins"
1238520,11/2022,GESTÃO,1.3.1,Locação de veiculo
1238520,11/2022,GESTÃO,1.3.2,Passagens aereas e terrestres
1238520,11/2022,GESTÃO,1.3.3,Confecção de uniformes
1238520,11/2022,GESTÃO,1.5.5,Gêneros alimentícios
1238520,11/2022,GESTÃO,1.5.6,Locação de Veículo
1238520,11/2022,GESTÃO,1.5.7,Confecção de Uniformes e Vestuário em Geral
1238520,11/2022,GESTÃO,1.3.4,"Serviços técnicos profissionais, assessoria, treinamentos e instrutoria"
1238520,11/2022,GESTÃO,1.2.2,Diária Fora do Estado.
