INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,ITEM,DESCRIÇÃO
1404986,28/2025,ABC SERRINHA,1.3.8,Material para pequenos reparos e conservação de bens móveis e imóveis;
1404986,28/2025,ABC SERRINHA,1.3.9,Material para festividades;
1404986,28/2025,ABC SERRINHA,1.3.10,Utensílios de copa e cozinha;
1404986,28/2025,ABC SERRINHA,1.3.11,Vestuário e uniformes em geral;
1404986,28/2025,ABC SERRINHA,1.4.1,Equipamento e Material Permanente
1404986,28/2025,ABC SERRINHA,1.5.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, valetransporte e vale-refeição)"
1404986,28/2025,ABC SERRINHA,1.5.2,"Material de expediente, didático, pedagógico, material de tecnologia da informação e suprimento de informática;"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.1.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões,atestado médico, 13ºsalário, férias,adicional noturno, vale- transporte evale-refeição"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.2.1,Diárias e Ajuda de Custo
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.1,Serviços de Laudos Técnicos – Vistoria e pericia/Análise de potabilidade da água e limpeza da caixa d’agua
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.2,"Contas públicas (Energia, água, telefone e internet)"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.3,"Dedetização, desratização e sanitização"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.4,Alimentação para Eventos
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.5,Locação de veículo
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.6,Locação de imóvel
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.7,Locação de impressora
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.8,Passagens aéreas e terrestres
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.9,Pequenos reparos de bens móveis e imóveis
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.10,Recarga de extintores
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.11,"Serviço de apoio e infraestrutura logística para eventos, capacitações, seminários, encontros e feiras (fornecimento de alimentação, locação de espaço físico,confecção de blusas e bolsas com suas devidas logomarcas, locação de maquinas, equipamentos, serviços técnicos profissionais, serviços gráficos, cópias e reproduções de documentos e afins)"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.12,Serviço de rede de internet (Wifi)
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.13,Serviços de implantação de vídeo monitoramento
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.3.14,Serviços de manutenção de vídeo monitoramento
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.4.1,"Remuneração de serviços de natureza eventual (Instrutores, palestrantes, substituições e outros)"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.4.2,Serviços de pequenos reparos
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.1,Gás engarrafado
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.2,Gêneros Alimentícios
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.3,"Material de expediente, tecnologia da informação e suprimento de informática"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.4,"Material didático, pedagógico, recreativo, esportivo, fotografia documentos e cuidado estético"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.5,Material para reparos e conservação de bens móveis e imóveis
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.6,Vestuário e uniformes em geral
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.7,Medicamentos e primeiros socorros
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.8,Equipamentos de proteção individual – EPI’s
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.9,Utensílios domésticos
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.10,Material de limpeza e conservação
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.11,"Cama, mesa e banho"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.5.12,Material de higiene
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.6.1,"Salários e encargos sob a folha (horas extras, encargos sociais, rescisões, atestado médico, 13º salário, férias, adicional noturno, vale- transporte e vale-refeição)"
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.6.2,Locação de veículo
1363330,15/2025,ACOLHIMENTO 02 FORTALEZA,1.6.3,Material de Expediente
