INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,MÊS COMPETÊNCIA,ANO COMPETÊNCIA,ITEM,DESCRIÇÃO,VALOR,NF,EMPRESA,STATUS,DATA PGTO
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,MATERIAL EDUCATIVO E ESPORTIVO,"R$ 1.196,23",6072.0,FORTAL,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,GÊNEROS ALIMENTÍCIOS,"R$ 9.134,25",144.0,AVANTI,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,GÊNEROS ALIMENTÍCIOS,"R$ 1.590,64",37310.0,CCPF,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,MATERIAL DE EXPEDIENTE,"R$ 581,05",6182.0,FORTAL,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,MATERIAL EDUCATIVO E ESPORTIVO,"R$ 916,84",6183.0,FORTAL,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,MATERIAL DE COPA E COZINHA,"R$ 194,50",575.0,R&R,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 535,62",6184.0,FORTAL,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,"UNIFORMES, TECIDOS E AVIAMENTOS","R$ 21.680,00",576.0,R&R,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,SERVIÇO DE COMUNICAÇÃO EM GERAL,"R$ 513,00",67.0,KM SERVIÇOS,PAGA,12/02/2026
1238489,12/2022,CREAS CARIRI FORTALEZA,Março,2026,1.3.2,Locação de veiculo,1234.56,345.0,modelo,FATURADA,
